Item, Description, Price, Category
Caramel Machiotto, Caramel caffinated beverage, 5.45, Beverage
Vanilla Bean, Vanilla based frozen beverage, 5.45, Beverage
Coffee, basic coffee beverage, 2.00, Beverage
Bagel, Plain-CinnamonRaisin, 2.50, Food
Cookie, ChocolateChip-Oatmeal-Raisin-Sugar, 1.50, Food
Doughtnuts, variety, 1.50, Food
Muffin, blueberry-Rasberry-BananaNut, 1.50, Food
Coffee Cup, signature coffee cup, 6.00, Miscellaneous
Coffee Mug, signature coffee mug,v 8.50, Miscellaneous
Bag of Coffee Grounds, Fresh Ground Coffee, 2.50, Food
Tea Cup, signature tea cup, 5.50, Miscellaneous
